CODICE_SCUOLA,M_Docenti,F_Docenti,Tot_Docenti,M_Supplenti,F_Supplenti,Tot_Supplenti,M_ATA,F_ATA,Tot_ATA
CSTF01000C,83,91,174,0,11,11,29,19,48
MIMM8DQ01D,19,45,64,6,14,20,12,16,28
CSEE83101X,4,57,61,3,11,14,14,9,23
MEEE83404C,6,46,52,4,4,8,11,13,24
MIEE886019,4,47,51,0,5,5,9,17,26
SARC12000G,5,15,20,1,5,6,2,7,9
NUMM82402Q,3,13,16,0,2,2,3,15,18
RMEE84603D,4,73,77,1,26,27,2,17,19
FOMM814011,5,12,17,1,1,2,4,15,19
VRTD01103A,34,81,115,1,9,10,9,20,29
FGMM83802L,8,31,39,4,6,10,12,11,23
CAEE09301P,4,52,56,1,12,13,6,13,19
PAEE8AD052,4,52,56,1,12,13,6,13,19
SAEE01402D,1,68,69,0,18,18,12,10,22
MTEE83402L,2,25,27,1,1,2,8,12,20
MCMM83102L,9,19,28,4,4,8,3,25,28
VITE019012,58,116,174,11,21,32,15,28,43
CREE82303G,10,99,109,5,26,31,4,33,37
GREE811041,2,64,66,1,15,16,4,24,28
CAMM888015,11,25,36,1,5,6,8,22,30
LCEE83004A,3,53,56,1,10,11,9,17,26
MIEE832011,17,109,126,6,28,34,7,31,38
VRMM86202R,13,38,51,3,5,8,9,26,35
VIEE80902L,2,50,52,0,10,10,4,20,24
PSRI001013,25,42,67,4,10,14,10,25,35
CTMM10300P,17,81,98,3,32,35,9,5,14
PIMM83601B,7,31,38,1,9,10,4,28,32
AVMM873022,18,31,49,2,6,8,10,18,28
RMEE8BD02G,1,45,46,1,9,10,3,20,23
MEEE816061,4,51,55,0,14,14,8,23,31
CZEE843034,0,31,31,0,3,3,10,15,25
SSTD022018,39,35,74,5,9,14,8,15,23
ANEE83102X,3,57,60,1,14,15,8,20,28
LUTF004018,62,71,133,9,18,27,10,28,38
ALEE83502L,5,44,49,0,10,10,11,17,28
PTEE82804G,4,90,94,1,26,27,4,33,37
TSEE805028,0,33,33,0,6,6,4,16,20
OREE82001X,1,45,46,0,12,12,1,19,20
CZMM86101E,8,27,35,2,9,11,11,18,29
RMRH03101X,25,75,100,5,16,21,12,22,34
MIEE8ES038,6,66,72,4,14,18,9,19,28
RMPS19000T,22,62,84,4,3,7,12,16,28
CAEE89305T,22,62,84,4,3,7,12,16,28
PZEE82403X,1,32,33,1,2,3,8,15,23
VARI00801Q,146,129,275,15,29,44,26,39,65
VEEE87101X,6,70,76,1,14,15,8,20,28
TAEE81201R,2,32,34,0,8,8,10,11,21
BSEE85301X,2,50,52,1,10,11,6,17,23
TRMM81402E,5,31,36,1,7,8,1,17,18
CEEE81306C,0,30,30,0,7,7,9,9,18
KREE82403N,4,53,57,0,15,15,8,18,26
BAMM824019,7,24,31,1,6,7,6,12,18
VBMM806032,14,30,44,3,5,8,6,29,35
BAEE838018,1,44,45,0,18,18,7,15,22
TVEE87205X,3,74,77,1,18,19,6,31,37
APEE805066,3,22,25,0,2,2,0,0,0
CEEE8AS02C,2,44,46,0,14,14,9,14,23
ROMM80701A,10,42,52,2,9,11,6,28,34
PREE830041,3,53,56,0,6,6,5,32,37
TATF021016,70,80,150,11,18,29,10,26,36
BSMM815014,13,44,57,3,12,15,5,23,28
CSEE88503A,3,42,45,1,8,9,3,13,16
BSEE807038,2,41,43,0,9,9,5,20,25
CNMM818026,14,20,34,2,4,6,9,19,28
PDEE84303Q,3,53,56,0,8,8,2,26,28
NAMM812018,10,38,48,3,11,14,8,22,30
PDEE82805Q,4,65,69,0,12,12,6,20,26
TOTA008012,59,107,166,12,24,36,14,32,46
RMEE8ES01P,6,56,62,2,14,16,3,15,18
KRMM81703D,10,10,20,1,0,1,12,14,26
NAMM0CQ00C,10,10,20,1,0,1,12,14,26
CEEE8AU046,2,58,60,1,12,13,7,14,21
BGRF00701C,36,49,85,2,4,6,10,16,26
FRTD01902N,54,118,172,6,45,51,13,31,44
CHMM81903X,6,23,29,1,8,9,6,21,27
NOEE806022,6,54,60,3,13,16,7,23,30
NAMM8B0017,4,33,37,1,10,11,9,10,19
AGPC001017,23,76,99,0,2,2,20,10,30
AVEE00504G,1,88,89,0,23,23,12,18,30
CSEE591011,5,32,37,4,10,14,7,11,18
MOMM811036,4,14,18,1,1,2,4,17,21
TEEE842013,2,57,59,0,17,17,7,26,33
MIPC040008,30,58,88,1,0,1,9,14,23
COEE846035,6,56,62,3,12,15,4,22,26
PVRC01251X,62,174,236,17,70,87,0,0,0
SAEE85502P,3,20,23,1,3,4,2,14,16
VVMM829019,3,20,23,1,3,4,2,14,16
PRMM81003N,11,20,31,2,3,5,6,18,24
RGEE80603Q,2,32,34,0,5,5,7,11,18
MITD450009,44,77,121,5,19,24,8,22,30
TOTD06603E,44,77,121,5,19,24,8,22,30
NAMM8GK01X,14,31,45,3,5,8,9,19,28
TVMM861018,8,21,29,2,5,7,3,21,24
MIEE8BK02B,3,65,68,1,12,13,10,22,32
SSEE849065,3,65,68,1,12,13,10,22,32
NAMM8GY01V,3,16,19,1,7,8,8,8,16
MSEE81701P,1,68,69,0,24,24,3,26,29
MIEE8EA02B,2,69,71,1,17,18,3,18,21
MOEE82202L,5,82,87,1,18,19,7,26,33
SARH077516,41,79,120,4,25,29,0,0,0
BLRI006016,46,37,83,6,5,11,27,46,73
RGEE82701P,2,55,57,0,21,21,8,19,27
AGMM85302E,7,20,27,0,3,3,14,9,23
TSEE806035,8,43,51,1,10,11,5,37,42
BLEE831015,4,68,72,2,19,21,9,21,30
SARI02401Q,26,53,79,0,13,13,6,16,22
NATF010007,35,75,110,4,22,26,11,19,30
APEE83804B,1,61,62,1,14,15,8,27,35
BOTA00601N,60,88,148,10,35,45,16,20,36
REEE84502P,5,55,60,1,14,15,4,26,30
LEEE85501R,2,34,36,1,4,5,7,15,22
SAEE062074,2,34,36,1,4,5,7,15,22
ARMM827012,9,28,37,2,10,12,4,19,23
NAPS860005,20,95,115,1,10,11,7,21,28
CTRI03301C,80,89,169,5,24,29,16,23,39
MERA01101P,64,78,142,9,30,39,19,23,42
VIEE814079,3,72,75,2,13,15,7,34,41
CRMM80003T,19,36,55,8,7,15,6,32,38
MNMM83501X,3,31,34,0,7,7,4,17,21
VRMM83801V,6,24,30,1,6,7,5,13,18
ARMM83302A,3,31,34,1,5,6,3,17,20
NAEE03803L,2,107,109,1,20,21,13,19,32
COMM81302Q,11,38,49,4,10,14,3,22,25
ARTA01601E,32,44,76,5,14,19,20,36,56
RMSL070502,42,92,134,7,25,32,15,19,34
MSPS020002,14,33,47,0,1,1,3,15,18
BLEE809021,14,33,47,0,1,1,3,15,18
AVMM87502N,16,33,49,1,3,4,13,15,28
REEE819026,2,30,32,0,4,4,2,18,20
MEMM813039,8,23,31,0,3,3,11,12,23
GEEE854036,5,85,90,2,18,20,8,27,35
MEMM857044,11,33,44,4,7,11,11,22,33
VAMM83401D,4,19,23,2,4,6,10,14,24
PSSD07000N,28,88,116,5,23,28,15,19,34
AVEE86704T,3,43,46,1,6,7,13,16,29
FGEE02900T,2,69,71,0,23,23,9,10,19
TOEE8B802A,8,100,108,3,39,42,8,31,39
TVEE834044,1,58,59,1,18,19,3,27,30
TOEE89702R,7,88,95,5,25,30,5,39,44
FEEE81405N,7,57,64,2,19,21,6,25,31
ATMM80501Q,9,35,44,4,7,11,5,21,26
TVPC00401E,30,66,96,4,11,15,13,16,29
TVMM87801N,10,32,42,3,5,8,3,34,37
TOMM8B701C,27,46,73,9,20,29,11,32,43
LEEE81005B,3,64,67,0,12,12,22,10,32
RMEE8G6039,8,89,97,3,28,31,3,22,25
VREE896032,7,98,105,3,25,28,7,33,40
PGMM18600L,17,67,84,3,17,20,2,13,15
CEEE86805G,0,55,55,0,11,11,13,17,30
CNRH02000B,41,81,122,18,17,35,11,24,35
SAMM8AV016,3,12,15,1,4,5,5,9,14
BNRH02350B,23,59,82,4,14,18,0,0,0
MCEE821012,3,39,42,2,11,13,3,18,21
RCMM81901V,10,23,33,1,7,8,12,11,23
RMRI11901N,70,102,172,10,31,41,27,22,49
CAMM848082,19,46,65,5,14,19,11,38,49
SAEE8AQ01P,0,15,15,0,1,1,3,9,12
RMMM8C501X,4,26,30,1,11,12,7,24,31
CZEE822022,4,36,40,1,9,10,11,8,19
MCEE80206T,2,40,42,0,7,7,3,18,21
FRMM807022,5,12,17,1,2,3,4,16,20
PDEE84402E,1,64,65,0,9,9,10,22,32
AQRA007019,65,94,159,15,41,56,16,25,41
LCPS00801E,35,59,94,3,10,13,5,20,25
UDEE835015,2,61,63,0,11,11,0,26,26
LCEE82307A,5,106,111,2,28,30,6,43,49
PZPS120021,25,54,79,2,6,8,12,20,32
ATPM01000R,35,86,121,6,11,17,5,25,30
VAEE84103Q,6,75,81,2,17,19,10,25,35
AVEE00501C,1,88,89,0,23,23,12,18,30
RMMM8CQ01B,10,28,38,2,6,8,5,22,27
RETF01151E,104,104,208,11,15,26,0,0,0
BSMM89302A,15,48,63,8,7,15,7,31,38
MEEE864015,4,58,62,2,23,25,7,17,24
NAEE864034,0,43,43,0,14,14,9,12,21
PREE81603N,4,25,29,0,3,3,5,17,22
CSTL06601N,57,67,124,8,27,35,18,13,31
RMEE8CS02E,3,91,94,0,31,31,5,24,29
CSMM305001,9,24,33,2,4,6,9,6,15
BARC046029,48,148,196,9,70,79,20,11,31
ORMM812043,8,32,40,1,8,9,2,32,34
LTMM81501G,8,34,42,2,11,13,7,24,31
MIEE8BV02Q,6,55,61,2,16,18,1,30,31
NATD082519,29,108,137,4,21,25,0,0,0
LTTF09000X,54,85,139,6,23,29,14,19,33
MIEE8EK027,10,65,75,4,15,19,8,23,31
RCEE10002T,7,62,69,2,14,16,11,13,24
LTTF00401R,93,139,232,20,49,69,18,31,49
FIMM820013,10,32,42,3,5,8,12,28,40
ANEE82504P,2,42,44,0,22,22,2,17,19
CAMM845017,9,18,27,2,1,3,6,17,23
ANSD01000Q,43,100,143,10,33,43,13,23,36
SOEE820081,3,87,90,0,13,13,10,25,35
TATF04151R,74,107,181,12,27,39,0,0,0
MEEE881053,5,58,63,2,12,14,17,10,27
RCPS01901C,33,99,132,3,19,22,21,17,38
PEMM81202L,4,14,18,0,4,4,2,15,17
CNEE85304L,1,49,50,0,14,14,5,21,26
RNEE817019,4,78,82,1,19,20,11,24,35
LCEE807016,3,29,32,0,5,5,0,18,18
MSEE81808T,0,45,45,0,14,14,1,22,23
BIEE81802T,4,72,76,2,23,25,8,22,30
CTEE8AG02T,1,48,49,1,20,21,11,16,27
MBEE83403G,2,76,78,1,16,17,5,22,27
BITL007015,97,131,228,30,53,83,17,39,56
MBMM8EY01T,5,31,36,1,6,7,3,28,31
PDEE86401P,2,68,70,1,19,20,2,25,27
BOEE072061,3,67,70,1,15,16,6,19,25
UDTD01801Q,44,59,103,1,3,4,7,20,27
BAPS052013,46,74,120,8,21,29,18,17,35
GOPS00101L,23,84,107,1,5,6,9,21,30
MBMM8BQ01N,10,34,44,3,6,9,4,26,30
BSEE8AN037,5,53,58,3,10,13,4,22,26
FGPC046022,37,94,131,10,37,47,12,22,34
SRTD00951Q,56,110,166,9,28,37,0,0,0
FGRC00801T,89,170,259,25,85,110,32,25,57
FIMM87301G,5,17,22,1,6,7,8,30,38
AVEE84604R,4,37,41,2,5,7,14,10,24
MNTF00701B,56,82,138,7,17,24,14,29,43
VTMM819025,11,25,36,3,7,10,3,20,23
NAEE8D8047,1,30,31,0,6,6,5,11,16
NAPS65000R,22,54,76,2,6,8,10,13,23
CSEE815078,3,32,35,1,7,8,18,11,29
MEEE89805C,4,62,66,0,11,11,5,24,29
ANMM83701R,11,36,47,4,8,12,7,28,35
MIEE8CZ03P,12,88,100,4,23,27,11,17,28
VIEE86201C,3,71,74,3,18,21,4,21,25
MBMM878016,11,39,50,2,9,11,4,23,27
CTEE09001X,3,48,51,0,16,16,10,11,21
MIMM8FH01P,5,28,33,2,3,5,4,26,30
RMEE84501G,3,50,53,0,16,16,6,15,21
PCEE00304R,3,106,109,1,21,22,2,29,31
CTEE8AU02A,4,44,48,0,10,10,5,17,22
ANMM80301N,12,44,56,5,13,18,3,34,37
BAPS38000R,8,53,61,1,3,4,6,13,19
ENEE816018,4,35,39,1,9,10,10,10,20
ANTD002017,24,56,80,5,8,13,6,18,24
SSEE80205V,1,34,35,0,6,6,3,19,22
TOMM8AU01A,3,17,20,0,3,3,10,24,34
VIEE88403B,3,88,91,1,13,14,8,27,35
NAMM8FJ01D,6,36,42,0,9,9,13,10,23
LEEE004022,3,65,68,2,20,22,8,12,20
CEEE85404L,0,39,39,0,5,5,4,19,23
CTEE8AR04G,1,51,52,0,11,11,9,19,28
PIEE81403N,4,53,57,3,21,24,6,20,26
TPEE836049,3,83,86,2,36,38,5,22,27
SAEE09009A,2,61,63,0,19,19,11,12,23
VIEE83702R,0,40,40,0,5,5,3,16,19
FIPC014016,58,122,180,11,20,31,10,28,38
MIEE8BD023,3,33,36,0,4,4,10,8,18
CERI03201A,3,33,36,0,4,4,10,8,18
TOEE89306N,2,49,51,0,13,13,4,28,32
BNRI00850R,55,91,146,8,9,17,0,0,0
RMMM8G6016,5,35,40,0,10,10,3,22,25
CTTH01301G,40,49,89,4,8,12,13,18,31
SPMM822016,7,61,68,1,15,16,6,39,45
CAEE83004N,4,40,44,0,7,7,9,22,31
RMEE885012,0,77,77,0,14,14,5,24,29
RMTN05301R,29,76,105,4,28,32,8,21,29
FEMM82201B,4,20,24,1,5,6,2,23,25
RCMM859019,16,44,60,6,9,15,20,9,29
PVEE830013,2,90,92,1,22,23,4,29,33
TORI04702D,65,55,120,12,13,25,17,19,36
MCEE827033,4,80,84,1,21,22,14,23,37
TOEE8AY01P,3,63,66,0,13,13,8,26,34
RMMM8GU01E,18,90,108,7,22,29,5,22,27
NAEE8BW039,3,53,56,1,10,11,16,10,26
FIEE85203N,2,64,66,0,14,14,11,20,31
CNPS02201A,34,81,115,4,10,14,5,30,35
TOEE81202R,2,86,88,0,23,23,7,32,39
BSEE87501R,5,53,58,1,10,11,3,26,29
GEMM824017,6,22,28,3,4,7,3,25,28
SAEE8AQ02Q,0,15,15,0,1,1,3,9,12
ALEE80609X,3,44,47,1,7,8,1,27,28
CZRI02101V,3,44,47,1,7,8,1,27,28
MBMM8F801G,17,47,64,4,12,16,4,24,28
BGTF016013,68,75,143,2,4,6,13,28,41
FOMM814022,5,12,17,1,1,2,4,15,19
NAMM88001V,6,19,25,1,3,4,5,7,12
TAPC033017,6,19,25,1,3,4,5,7,12
CNEE839028,0,25,25,0,2,2,1,13,14
CZMM813026,5,22,27,1,2,3,7,15,22
COMM80603N,10,21,31,4,4,8,3,17,20
VEEE80703P,2,51,53,1,9,10,5,19,24
SPEE807048,2,49,51,1,9,10,1,22,23
CSMM8A001T,6,29,35,2,4,6,9,16,25
APMM70201G,6,29,35,2,4,6,9,16,25
PSEE03900Q,8,85,93,3,22,25,7,23,30
RIEE80901T,2,31,33,1,7,8,1,17,18
MSRC00603B,72,133,205,19,53,72,15,29,44
RMMM8CS01C,7,26,33,2,10,12,5,24,29
LCMM830016,8,32,40,1,10,11,9,17,26
BAEE833037,1,79,80,1,32,33,9,18,27
PAPM04101Q,49,90,139,10,45,55,20,13,33
ATEE816017,0,41,41,0,16,16,3,21,24
CLMM02400T,0,41,41,0,16,16,3,21,24
RMMM8EB01N,13,56,69,3,12,15,11,18,29
PDPS11000P,18,45,63,0,2,2,7,16,23
RCEE875018,2,40,42,0,11,11,7,16,23
PAEE01205B,2,55,57,1,22,23,8,11,19
CSRI07301Q,52,80,132,8,30,38,24,15,39
VEEE818035,1,44,45,0,7,7,3,22,25
TVEE82401A,5,70,75,0,12,12,4,25,29
CLTD003027,38,67,105,8,17,25,20,15,35
PVEE83401A,9,100,109,5,36,41,5,28,33
AVMM873033,18,31,49,2,6,8,10,18,28
MEEE81604V,4,51,55,0,14,14,8,23,31
FGMM81601P,3,28,31,0,6,6,4,12,16
NAMM8G0018,3,28,31,0,6,6,4,12,16
PVMM81101L,8,21,29,4,9,13,4,21,25
BATA024018,66,84,150,8,24,32,51,53,104
TOTD02401A,43,72,115,9,18,27,7,22,29
RMEE8D301X,0,40,40,0,9,9,1,17,18
VCRH040008,42,73,115,17,27,44,15,31,46
PZMM852011,4,16,20,0,0,0,9,16,25
FRPM08000L,21,64,85,2,7,9,2,18,20
ROEE802029,4,35,39,1,6,7,3,17,20
ORMM820031,14,36,50,1,9,10,1,19,20
PZMM829021,10,16,26,1,2,3,11,12,23
NAEE10301C,1,121,122,0,46,46,18,13,31
GEEE80501V,3,48,51,1,10,11,7,26,33
MIEE8ES016,6,66,72,4,14,18,9,19,28
CNMM862017,26,67,93,11,20,31,12,46,58
COEE82303C,3,53,56,0,14,14,2,22,24
RMPC17000D,19,54,73,1,1,2,11,12,23
NAEE8B902Q,6,54,60,2,20,22,8,19,27
AVEE81202G,4,59,63,2,22,24,6,21,27
BGEE88004V,3,44,47,0,8,8,1,23,24
RCEE83207L,3,55,58,1,10,11,15,15,30
CAEE868011,3,48,51,0,10,10,2,19,21
BSEE88802X,1,43,44,0,4,4,2,23,25
SOEE815038,2,30,32,0,4,4,4,19,23
RNEE818048,1,94,95,0,28,28,7,30,37
ISEE81201P,2,41,43,0,8,8,7,18,25
RCEE83913P,3,73,76,1,19,20,19,15,34
MOEE80603Q,1,21,22,0,2,2,4,9,13
PTEE810017,2,50,52,1,17,18,3,31,34
TESL01201L,43,81,124,3,20,23,3,15,18
SSEE82009L,4,54,58,1,10,11,10,25,35
PIPC00701T,39,84,123,5,11,16,11,19,30
PCEE819016,4,25,29,1,1,2,8,17,25
AGMM812039,27,24,51,4,2,6,18,8,26
MIRC089517,77,117,194,28,44,72,0,0,0
VVEE80312P,3,44,47,1,8,9,17,13,30
SRTF014014,62,54,116,7,9,16,19,18,37
GREE828017,3,41,44,0,9,9,7,18,25
BNEE86002R,3,66,69,1,14,15,4,23,27
MIEE8D801E,2,51,53,0,17,17,1,21,22
AQEE82101D,0,34,34,0,10,10,5,13,18
LOEE81201B,3,82,85,1,16,17,7,28,35
CBTH01801L,36,81,117,7,23,30,14,18,32
NAEE8DR032,4,72,76,0,26,26,8,20,28
TAEE85501P,1,37,38,0,8,8,7,10,17
RMEE8DL032,6,130,136,2,43,45,9,29,38
IMEE80803X,5,44,49,2,6,8,3,23,26
RGEE011005,2,63,65,0,15,15,9,19,28
NUTD10050R,35,61,96,7,14,21,4,15,19
COMM84203R,3,29,32,1,7,8,4,19,23
ROEE81902P,3,29,32,1,7,8,4,19,23
MOEE82903C,1,63,64,0,13,13,3,26,29
NATH01250Q,41,56,97,6,13,19,0,0,0
MSEE81201G,0,48,48,0,19,19,2,20,22
MIEE8FH01Q,7,86,93,3,18,21,4,26,30
TRTF03050B,65,89,154,5,17,22,15,28,43
BIEE81201T,4,35,39,1,9,10,6,23,29
ORPC00801P,33,66,99,6,6,12,29,30,59
BGEE84902R,2,69,71,1,22,23,5,17,22
MEEE83402A,6,46,52,4,4,8,11,13,24
VIMM89002L,8,30,38,3,8,11,3,22,25
ANEE80401E,4,60,64,0,19,19,3,27,30
SARC110001,5,3,8,0,0,0,2,5,7
CATD028529,45,72,117,5,20,25,0,0,0
RMEE84601B,4,73,77,1,26,27,2,17,19
ANEE843037,3,71,74,1,16,17,3,29,32
VRPC01000C,30,76,106,2,3,5,6,25,31
SSEE02504G,7,87,94,4,29,33,2,28,30
NUPC00701B,33,73,106,3,2,5,5,24,29
NAEE18306E,33,73,106,3,2,5,5,24,29
MOTF030004,57,77,134,5,9,14,14,22,36
PCMM805017,10,29,39,1,8,9,5,25,30
LUEE831012,4,43,47,0,9,9,1,27,28
LOEE80404G,0,61,61,0,9,9,4,23,27
BAMM146003,11,55,66,1,12,13,2,14,16
ANTF018013,43,58,101,5,16,21,10,24,34
UDEE848017,2,63,65,0,20,20,7,25,32
VIEE80903N,2,50,52,0,10,10,4,20,24
SAMM857018,6,40,46,0,11,11,15,16,31
SIEE81203G,1,67,68,0,18,18,4,34,38
CTEE836016,2,52,54,0,15,15,6,19,25
TOPS064011,49,127,176,9,24,33,20,34,54
CNEE80704V,2,58,60,1,13,14,6,25,31
VREE81401B,2,53,55,1,19,20,4,22,26
MIEE85501N,7,86,93,3,22,25,2,29,31
MIMM845012,9,30,39,4,5,9,4,24,28
RMTF053015,29,76,105,4,28,32,8,21,29
LUTD00451B,29,76,105,4,28,32,8,21,29
RMPS200007,21,69,90,2,4,6,8,17,25
CAEE88805A,3,36,39,0,11,11,8,22,30
TOTF043012,62,73,135,10,12,22,14,17,31
FREE831031,2,52,54,1,18,19,3,21,24
TSMM806012,9,30,39,0,4,4,5,37,42
VEPC01000R,23,44,67,0,1,1,0,0,0
MIEE8AU03D,10,68,78,5,17,22,7,21,28
PSPS00101T,25,42,67,4,10,14,10,25,35
VARI008515,146,129,275,15,29,44,0,0,0
VEEE871021,6,70,76,1,14,15,8,20,28
BSEE85401Q,3,71,74,0,12,12,6,33,39
TREE81401E,2,50,52,0,11,11,1,17,18
CEMM813016,4,20,24,1,3,4,9,9,18
GEMM833012,7,33,40,3,15,18,3,19,22
PRTF00701B,51,61,112,3,5,8,14,22,36
TARI021019,70,80,150,11,18,29,10,26,36
RMEE88702P,5,75,80,0,27,27,7,21,28
RMEE8BM01V,0,34,34,0,12,12,0,18,18
PDMM84302N,6,38,44,1,7,8,2,26,28
TORA008016,59,107,166,12,24,36,14,32,46
GOEE814027,5,55,60,3,18,21,6,16,22
FRTD017011,5,55,60,3,18,21,6,16,22
SPEE814018,1,76,77,0,19,19,6,27,33
TVEE82402B,5,70,75,0,12,12,4,25,29
CBEE830026,3,53,56,1,17,18,6,20,26
VAEE849029,2,80,82,0,21,21,7,21,28
CEEE8AU013,2,58,60,1,12,13,7,14,21
NOEE806033,6,54,60,3,13,16,7,23,30
MSRH010005,35,86,121,6,30,36,23,46,69
RCMM863011,6,19,25,3,6,9,11,10,21
NAMM8AW01C,6,30,36,1,4,5,4,11,15
BSEE85001C,2,35,37,0,4,4,9,14,23
SAMM8BD011,9,22,31,0,5,5,16,10,26
SOEE80401Q,3,45,48,2,4,6,5,21,26
MEEE857023,5,59,64,1,11,12,11,22,33
VBEE806033,4,52,56,1,14,15,6,29,35
VAMM873014,6,33,39,3,10,13,6,25,31
CTEE04406B,6,119,125,3,53,56,13,17,30
RCMM86901X,11,42,53,2,10,12,13,19,32
ROMM80703C,10,42,52,2,9,11,6,28,34
NAMM8FQ029,17,31,48,5,10,15,13,13,26
PAEE03407A,5,84,89,3,26,29,10,15,25
PRMM83001R,6,35,41,2,3,5,5,32,37
CHEE818046,1,61,62,0,22,22,7,34,41
MOMM81301Q,7,16,23,2,4,6,1,21,22
MIPC05000V,26,51,77,1,0,1,7,16,23
RMMM8F9013,11,55,66,6,20,26,4,21,25
SIPS03000E,20,54,74,0,1,1,7,14,21
PEEE80602A,2,31,33,0,11,11,4,18,22
FEEE81503B,2,67,69,1,22,23,6,28,34
PEEE82501P,2,29,31,0,10,10,6,13,19
LTEE80203L,2,80,82,0,34,34,6,21,27
BGEE89602A,2,49,51,1,12,13,10,13,23
PRMM81002L,11,20,31,2,3,5,6,18,24
RGEE81801X,0,36,36,0,8,8,10,11,21
SVPC00801R,37,95,132,6,14,20,8,27,35
TOEE81804T,4,36,40,0,4,4,13,20,33
AVEE00506N,1,88,89,0,23,23,12,18,30
CREE812024,5,74,79,3,19,22,7,27,34
RCEE821032,0,47,47,0,11,11,18,8,26
NOEE82007D,1,62,63,1,15,16,15,23,38
PAEE85303E,0,42,42,0,12,12,10,8,18
RNRH030001,36,76,112,5,23,28,10,25,35
ISMM81204R,8,18,26,0,5,5,7,18,25
CTEE89902A,5,60,65,3,30,33,5,16,21
PTMM80701A,8,33,41,3,10,13,3,23,26
COEE846024,6,56,62,3,12,15,4,22,26
AGMM805025,15,26,41,1,4,5,12,13,25
CTTN008018,35,82,117,10,27,37,15,14,29
PDEE896016,4,93,97,2,19,21,11,29,40
SVEE80304B,2,50,52,0,11,11,5,28,33
CRMM817026,11,32,43,3,13,16,10,23,33
FREE81601R,0,46,46,0,15,15,7,26,33
ORMM803015,7,15,22,0,2,2,7,16,23
MCEE80205R,7,15,22,0,2,2,7,16,23
MIEE8BU023,6,72,78,4,15,19,2,29,31
CTEE81901C,0,53,53,0,20,20,5,16,21
SVMM803028,4,26,30,2,6,8,5,28,33
CRTF01102V,67,142,209,18,47,65,15,34,49
NAMM8GZ01P,4,17,21,2,7,9,8,18,26
CTMM8A701Q,19,56,75,3,11,14,7,18,25
AREE827046,2,51,53,1,17,18,4,19,23
BRMM83501T,3,30,33,0,6,6,11,13,24
AGRI017015,56,73,129,3,13,16,21,14,35
NAPS84000X,17,65,82,0,2,2,8,17,25
CTTF033019,80,89,169,5,24,29,16,23,39
NARI082019,29,108,137,4,21,25,11,16,27
TVEE862015,3,54,57,0,11,11,6,21,27
FGEE83802N,2,50,52,0,8,8,12,11,23
CSEE861061,1,35,36,0,3,3,9,11,20
BAEE088009,2,68,70,0,28,28,10,9,19
TOMM83801V,8,23,31,5,8,13,5,24,29
BREE821011,1,38,39,0,11,11,8,10,18
BREE83201B,2,52,54,0,14,14,6,20,26
SAMM83801V,11,36,47,1,11,12,8,22,30
SATF077015,41,79,120,4,25,29,20,18,38
VREE83801X,2,41,43,1,10,11,5,13,18
NAEE03802G,2,107,109,1,20,21,13,19,32
PZMM85901Q,11,16,27,1,2,3,7,17,24
ARRH01601V,32,44,76,5,14,19,20,36,56
FGPS04801Q,53,81,134,4,22,26,14,20,34
VIMM81001P,16,33,49,4,5,9,6,27,33
FIMM82301E,8,33,41,3,6,9,3,28,31
AQEE83404P,0,54,54,0,16,16,13,19,32
BLMM80901V,7,23,30,2,7,9,5,16,21
CORH004028,50,85,135,7,24,31,19,25,44
BSEE881025,3,54,57,0,15,15,3,25,28
PGEE85301D,4,79,83,2,31,33,5,22,27
GEEE84302P,2,50,52,0,11,11,3,26,29
RMEE8A702C,4,112,116,0,47,47,5,28,33
MIEE845024,4,63,67,1,9,10,4,24,28
NUEE835016,1,32,33,0,6,6,4,20,24
VIMM81501T,11,31,42,2,6,8,6,16,22
PSTD10000N,47,68,115,4,10,14,15,18,33
CREE80001R,4,70,74,1,24,25,6,32,38
